ts,rikishi1,rikishi2,outcome,stake,odds,status,return
2018-03-24 15:46,Aoiyama,Okinoumi,W2,20,1.9,win,38.08
2018-03-24 12:38,Shodai,Daieisho,W1,20,1.77,loss,0
2018-03-23 14:50,Kakuryu,Goeido,W1,20,1.41,win,28.2
2018-03-23 14:44,Tochiozan,Hidenoumi,W1,20,1.87,win,37.4
2018-03-23 14:44,Okinoumi,Myogiryu,W1,20,1.72,loss,0
2018-03-23 14:42,Arawashi,Ryuden,W2,20,1.86,win,37.2
2018-03-22 20:01,Mitakeumi,Hokutofuji,W1,20,1.74,win,34.88
2018-03-22 20:00,Takayasu,Goeido,W1,20,1.7,win,33.92
2018-03-22 20:00,Daishomaru,Chiyoshoma,W2,20,1.94,win,38.88
2018-03-22 20:00,Tamawashi,Yoshikaze,W1,20,1.47,loss,0
2018-03-22 19:59,Aoiyama,Yutakayama,W2,20,1.9,win,37.92
2018-03-21 18:51,Kakuryu,Tochinoshin,W1,20,1.31,loss,0
2018-03-21 12:58,Kakuryu,Tochinoshin,W1,20,1.24,loss,0
2018-03-21 12:57,Goeido,Ichinoj,W1,20,1.83,win,36.6
2018-03-21 12:23,Goeido,Ichinoj,W1,20,1.77,win,35.4
2018-03-21 12:20,Mitakeumi,Shodai,W1,20,1.62,loss,0
2018-03-21 12:19,Tamawashi,Takarafuji,W1,20,1.45,win,29
2018-03-21 12:18,Chiyonokuni,Daishomaru,W1,20,1.84,loss,0
2018-03-20 23:42,Mitakeumi,Chiyomaru,W1,20,1.59,loss,0
2018-03-20 14:29,Daishomaru,Hidenoumi,W1,20,1.62,win,32.4
2018-03-20 14:07,Goeido,Shodai,W1,20,1.66,win,33.2
2018-03-20 14:07,Mitakeumi,Chiyomaru,W1,20,1.57,loss,0
2018-03-19 17:14,Hokutofuji,Takakeisho,W2,20,1.9,loss,0
2018-03-19 13:49,Endo,Arawashi,W1,20,1.46,win,29.2
2018-03-19 13:32,Kakuryu,Chiyomaru,W1,20,1.24,win,24.8
2018-03-19 13:31,Ichinoj,NA,W1,20,1.62,win,32.4
2018-03-19 13:31,Tamawashi,Chiyotairyu,W1,20,1.61,loss,0
2018-03-19 13:30,Mitakeumi,Shohozan,W1,20,1.7,loss,0
2018-03-19 13:30,Takayasu,Shodai,W1,20,1.38,win,27.5
2018-03-19 01:22,Aminishiki,Hidenoumi,W2,20,1.85,loss,0
2018-03-19 01:21,Mitakeumi,Kotoshogiku,W1,20,1.5,loss,0
2018-03-18 23:22,Chiyomaru,Goeido,W2,20,1.4,loss,0
2018-03-18 23:09,Kakuryu,Shodai,W1,20,1.28,win,25.5
2018-03-18 14:08,Endo,Tamawashi,W2,20,1.75,win,35
2018-03-18 13:53,Takayasu,Chiyotairyu,W1,20,1.47,win,29.4
2018-03-18 13:00,Takayasu,Chiyotairyu,W1,20,1.43,win,28.6
2018-03-18 13:00,Mitakeumi,Kotoshogiku,W1,20,1.45,loss,0
2018-03-18 13:00,Chiyomaru,Goeido,W2,20,1.38,loss,0
2018-03-17 17:06,Sokokurai,Asanoyama,W2,20,1.64,loss,0
2018-03-17 12:52,Takayasu,Takakeisho,W1,20,1.6,win,32
2018-03-17 12:52,Kotoshogiku,Goeido,W2,20,1.49,win,29.8
2018-03-17 12:51,Kakuryu,Shohozan,W1,20,1.3,win,26
2018-03-16 21:24,Takayasu,Shohozan,W1,20,1.45,win,29
2018-03-16 12:21,Daishomaru,Sokokurai,W1,20,1.62,win,32.4
2018-03-15 23:33,Takayasu,Takarafuji,W1,20,1.27,win,25.4
2018-03-15 23:33,Kakuryu,Kotoshogiku,W1,20,1.25,win,25
2018-03-15 12:43,Goeido,Shohozan,W1,20,1.67,win,33.4
2018-03-14 14:11,Mitakeumi,Tamawashi,W1,20,1.7,win,34
2018-03-14 14:11,Takayasu,Kotoshogiku,W1,20,1.51,win,30.2
2018-03-13 12:45,Okinoumi,Chiyonokuni,W2,20,1.82,loss,0
2018-03-13 12:42,Asanoyama,Ikioi,W2,20,1.9,win,38
2018-03-12 22:58,Yoshikaze,Kaisei,W2,20,1.74,win,34.8
2018-03-12 22:58,Mitakeumi,Endo,W1,20,1.6,loss,0
2018-03-12 22:57,Kakuryu,Tamawashi,W1,20,1.65,win,33
