ts,winner,stake,return,status,odds
2018-05-26 11:31,Kyokushuho,27.54,0,Lost,2.65
2018-05-25 11:24,Abi,17,27.54,Won,1.62
2018-05-25 11:05,Kyokutaisei,17,0,Lost,2.15
2018-05-24 11:21,Ichinojo,8,0,Lost,5.05
2018-05-24 10:44,Asanoyama,20,0,Lost,1.57
2018-05-24 10:44,Kagayaki,20,34,Won,1.7
2018-05-24 10:44,Sadanoumi,20,0,Lost,2.34
2018-05-23 12:51,Daiamami,10.98,0,Lost,2.24
2018-05-23 12:20,Shodai,20,36,Won,1.8
2018-05-23 12:05,Takarafuji,20,0,Lost,1.7
2018-05-23 12:04,Mitakeumi,20,0,Lost,1.58
2018-05-23 11:57,Ichinojo,20,0,Lost,1.77
2018-05-23 11:56,Abi,20,0,Lost,1.75
2018-05-23 11:56,Takakeisho,20,32,Won,1.6
2018-05-22 12:02,Endo,20,0,Lost,2.15
2018-05-22 12:02,Myogiryu,20,44.8,Won,2.24
2018-05-22 12:02,Daishomaru,20,0,Lost,2.19
2018-05-22 12:01,Abi,20,0,Lost,1.68
2018-05-22 12:01,Ryuden,20,0,Lost,2.28
2018-05-22 12:00,Daieisho,20,0,Lost,2.19
2018-05-22 11:59,Okinoumi,20,0,Lost,1.8
2018-05-22 11:59,Asanoyama,20,0,Lost,2.24
2018-05-22 11:59,Shodai,10,0,Lost,4.55
2018-05-21 11:29,Abi,13.74,28.58,Won,2.08
2018-05-21 11:29,Kakuryu,20,27.6,Won,1.38
2018-05-21 11:29,Ichinojo,20,37,Won,1.85
2018-05-21 11:29,Daishomaru,20,36,Won,1.8
2018-05-21 11:28,Kyokutaisei,20,43.8,Won,2.19
2018-05-21 11:28,Kagayaki,20,35.6,Won,1.78
2018-05-21 11:27,Endo,10,0,Lost,6.25
2018-05-21 11:27,Kotoeko,20,47.6,Won,2.38
2018-05-20 11:32,Hakuho,10.08,11.69,Won,1.16
2018-05-20 11:31,Kyokutaisei,15,0,Lost,2.34
2018-05-20 11:29,Chiyotairyu,20,0,Lost,1.9
2018-05-20 11:26,Mitakeumi,20,29,Won,1.45
2018-05-20 11:25,Takarafuji,20,39.05,Won,1.952
2018-05-20 11:17,Chiyomaru,20,0,Lost,2.38
2018-05-20 11:15,Sadanoumi,20,0,Lost,2.09
2018-05-20 11:14,Chiyonokuni,20,33,Won,1.65
2018-05-20 11:09,Onosho,20,31,Won,1.55
2018-05-19 11:33,Chiyonokuni,9.4,13.63,Won,1.45
2018-05-19 11:32,Asanoyama,20,0,Lost,1.74
2018-05-19 11:32,Chiyomaru,20,40.2,Won,2.01
2018-05-19 11:32,Takakeisho,20,39.05,Won,1.952
2018-05-19 11:31,Daiamami,20,0,Lost,2.11
2018-05-19 11:31,Yutakayama,10,0,Lost,6
2018-05-19 11:31,Goeido,20,0,Lost,1.48
2018-05-19 11:30,Mitakeumi,20,30.6,Won,1.53
2018-05-19 11:30,Kaisei,20,0,Lost,2.34
2018-05-19 11:28,Sadanoumi,20,0,Lost,1.86
2018-05-19 11:28,Kyokutaisei,20,41.6,Won,2.08
2018-05-19 11:28,Kagayaki,20,0,Lost,2.38
2018-05-18 12:52,Goeido,20,0,Lost,1.52
2018-05-18 12:51,Chiyonokuni,20,30.8,Won,1.54
2018-05-18 12:10,Ichinojo,20,0,Lost,1.65
2018-05-18 12:04,Chiyomaru,20,0,Lost,2.24
2018-05-18 12:04,Sadanoumi,20,0,Lost,2.01
2018-05-18 12:01,Kyokutaisei,20,0,Lost,2.01
2018-05-18 11:59,Daieisho,20,53,Won,2.65
2018-05-18 11:55,Kagayaki,20,40.2,Won,2.01
2018-05-18 11:54,Chiyotairyu,10,0,Lost,5.05
2018-05-17 17:15,Sadanoumi,20,33,Won,1.65
2018-05-17 17:15,Myogiryu,20,46.8,Won,2.34
2018-05-17 17:15,Kagayaki,20,42.4,Won,2.12
2018-05-17 17:14,Nishikigi,20,43.8,Won,2.19
2018-05-17 17:14,Goeido,20,0,Lost,1.65
2018-05-17 17:14,Ikioi,20,0,Lost,2.24
2018-05-17 17:13,Shodai,20,0,Lost,2.09
2018-05-17 17:13,Chiyoshoma,20,0,Lost,2.34
2018-05-17 17:13,Abi,10,57,Won,5.7
2018-05-17 17:13,Mitakeumi,20,42.4,Won,2.12
2018-05-16 14:12,Hokutofuji,13.26,0,Lost,1.99
2018-05-16 14:11,Kagayaki,20,40.2,Won,2.01
2018-05-16 14:11,Chiyotairyu,20,34,Won,1.7
2018-05-16 14:10,Mitakeumi,20,30,Won,1.5
